Activated as <IOR:010000001600000049444c3a53696d706c655f5365727665723a312e3000000001000000000000006c000000010102000b00000031302e302e312e3133350000393000001b00000014010f0052535469a8db6060040d000000000001000000010000000002000000000000000800000001000000004f4154010000001800000001b747620100010001000000010001050901010000000000>
-1216759008	-1216784657		-0.035771 -0.021108 0.034034 0.998557	0.009410 1.240997 -0.335603
-1216745126	-1216774608		-0.035264 -0.020931 0.033850 0.998585	0.009331 1.241245 -0.335302
-1216731199	-1216763247		-0.034420 -0.020656 0.033422 0.998635	0.009244 1.241601 -0.334926
-1216717256	-1216742830		-0.032990 -0.020216 0.033422 0.998692	0.009162 1.242114 -0.334399
-1216703344	-1216736108		-0.031468 -0.019946 0.034065 0.998725	0.009039 1.242601 -0.333758
-1216689426	-1216721647		-0.029429 -0.019549 0.034496 0.998780	0.008954 1.243091 -0.333012
-1216675453	-1216708660		-0.027253 -0.019243 0.035093 0.998827	0.008843 1.243536 -0.332231
-1216661580	-1216693650		-0.025532 -0.018611 0.035744 0.998861	0.008753 1.243950 -0.331227
-1216647666	-1216673267		-0.023465 -0.018449 0.035977 0.998907	0.008713 1.244424 -0.330157
-1216633743	-1216665843		-0.021890 -0.018112 0.035979 0.998949	0.008619 1.244854 -0.329006
-1216619817	-1216649452		-0.020267 -0.017410 0.035792 0.999002	0.008468 1.245293 -0.327684
-1216605913	-1216636242		-0.018816 -0.016812 0.035825 0.999040	0.008310 1.245746 -0.326181
-1216591916	-1216619029		-0.017482 -0.016300 0.035562 0.999082	0.008195 1.246179 -0.324607
-1216578068	-1216608694		-0.015914 -0.015810 0.035522 0.999117	0.008123 1.246693 -0.322969
-1216564131	-1216595635		-0.013739 -0.015229 0.035667 0.999153	0.008036 1.247154 -0.321278
-1216550216	-1216582632		-0.011341 -0.014572 0.035754 0.999190	0.007958 1.247594 -0.319499
-1216536285	-1216565684		-0.009803 -0.013912 0.036068 0.999204	0.007849 1.248027 -0.317518
-1216522358	-1216552913		-0.007996 -0.013332 0.035848 0.999236	0.007744 1.248367 -0.315420
-1216508385	-1216541458		-0.006843 -0.012570 0.035125 0.999280	0.007607 1.248672 -0.313235
-1216494506	-1216527695		-0.005342 -0.011630 0.034339 0.999328	0.007477 1.249057 -0.310918
-1216480585	-1216512904		-0.003421 -0.010754 0.034021 0.999357	0.007286 1.249464 -0.308492
-1216466678	-1216500020		-0.001419 -0.009680 0.034084 0.999371	0.007108 1.249891 -0.305952
-1216452754	-1216485810		0.000881 -0.008817 0.034289 0.999373	0.006935 1.250242 -0.303366
-1216438826	-1216471721		0.002920 -0.007560 0.034106 0.999385	0.006767 1.250550 -0.300566
-1216424848	-1216456597		0.004934 -0.006437 0.033879 0.999393	0.006597 1.250793 -0.297617
-1216410954	-1216443122		0.007109 -0.005141 0.033135 0.999412	0.006383 1.251098 -0.294515
-1216397018	-1216428085		0.009062 -0.003955 0.033131 0.999402	0.006151 1.251398 -0.291309
-1216383089	-1216413715		0.011135 -0.002734 0.032947 0.999391	0.005955 1.251610 -0.287994
-1216369197	-1216402323		0.013207 -0.001323 0.032320 0.999389	0.005716 1.251711 -0.284494
-1216355256	-1216383304		0.015226 0.000622 0.031237 0.999396	0.005492 1.251872 -0.280761
-1216341291	-1216374350		0.017120 0.002391 0.030621 0.999382	0.005214 1.252071 -0.276885
-1216327426	-1216358152		0.019830 0.004222 0.030191 0.999339	0.004983 1.252363 -0.272814
-1216313492	-1216346676		0.022458 0.005816 0.030383 0.999269	0.004701 1.252518 -0.268625
-1216299572	-1216332368		0.025192 0.007877 0.030446 0.999188	0.004422 1.252648 -0.264236
-1216285644	-1216316820		0.028036 0.009865 0.030331 0.999098	0.004095 1.252767 -0.259740
-1216271708	-1216304885		0.030419 0.012012 0.030131 0.999011	0.003789 1.252866 -0.255062
-1216257803	-1216290709		0.033108 0.014272 0.029809 0.998905	0.003513 1.252979 -0.250231
-1216243860	-1216276276		0.035991 0.016852 0.029227 0.998783	0.003132 1.253071 -0.245268
-1216229952	-1216257353		0.038816 0.019716 0.028993 0.998631	0.002735 1.253339 -0.240076
-1216216025	-1216249228		0.042716 0.022500 0.029156 0.998408	0.002405 1.253389 -0.234828
-1216202105	-1216232176		0.045899 0.025257 0.029108 0.998202	0.002023 1.253396 -0.229512
-1216188153	-1216219188		0.049247 0.028181 0.028692 0.997977	0.001639 1.253367 -0.224050
-1216174271	-1216206767		0.052684 0.031227 0.028304 0.997721	0.000976 1.253244 -0.218521
-1216160344	-1216193777		0.056261 0.035018 0.028039 0.997408	0.000427 1.253309 -0.212862
-1216146427	-1216178739		0.060458 0.038751 0.028464 0.997012	-0.000188 1.253343 -0.207258
-1216132498	-1216165360		0.065143 0.043044 0.028785 0.996531	-0.000763 1.253186 -0.201548
-1216118574	-1216148559		0.069231 0.047418 0.029449 0.996038	-0.001389 1.252889 -0.195733
-1216104653	-1216136142		0.073779 0.051748 0.029432 0.995496	-0.001991 1.252461 -0.189864
-1216090702	-1216118964		0.077735 0.056084 0.029216 0.994967	-0.002642 1.252139 -0.183972
